project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
APEC Wine Regulatory Forum - Public-Private Dialogue: Risk Management and Certification Requirements for Regional Trade in Wine,CTI 06 2012T,2012,Sub-Committee on Standards and Conformance (SCSC),New Zealand,Completed Project,TILF Special Account,None,Session 1,"122,925","123,794","246,719",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,Australia; Chile; United States,Ministry of Foreign Affairs and Trade,Ministry of Economic Development,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11115
Small Hydro and Renewable Grid Integration Workshop,EWG 05 2012A,2012,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"60,000","25,000","85,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,New Zealand; Chinese Taipei; United States,"General Directorate of Energy, Ministry of Industry and Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11070
"APEC Cooperative Energy Efficiency Design for Sustainability (CEEDS), Phase 4",EWG 01 2012A,2012,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 1,"170,340","415,120","585,460",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Brunei Darussalam; Canada; Chile; China; Hong Kong, China; Indonesia; Philippines; Russia; Singapore; Chinese Taipei; Thailand; United States; Viet Nam","International Affairs Division, Agency for Natural Resources and Energy",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11071
Aligning Energy Efficiency Regulations for ICT Products - Developing A Strategic Approach,CTI 04 2012T,2012,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,TILF Special Account,None,Session 1,"73,815","88,150","161,965",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,Australia; Chinese Taipei,U.S. Department of Commerce/Information Technology Industry Council,Department of Commerce/Information Technology Industry Council,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11118
Capacity Building of Different Aspects in E-Commerce of Supply Chain Connectivity Implementation,CTI 03 2012T,2012,Electronic Commerce Steering Group (ECSG),Russia,Completed Project,TILF Special Account,None,Session 1,"102,195","44,689","146,884",,Data Privacy; Electronic Commerce,Committee on Trade and Investment (CTI),Not Applicable / Other,Canada; Chile; Indonesia; Malaysia; Mexico; Chinese Taipei; Viet Nam,Ministry of Telecom and Mass Communication of the Russian Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11112
APEC Regulatory Cooperation Advancement Mechanism on Trade-Related Standards and Technical Regulations (ARCAM) Dialogue,CTI 02 2012T,2012,Committee on Trade and Investment (CTI),Australia; United States,Completed Project,TILF Special Account,None,Session 1,"75,283","76,931","152,214",,Trade Facilitation; Investment; Liberalisation,Committee on Trade and Investment (CTI),Not Applicable / Other,China; Russia,APEC Secretariat,Australian Department of Foreign Affairs and Trade,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11146
Enhancing Small and Medium-Sized Enterprises Participation in Global Production Chains,CTI 01 2012T,2012,Committee on Trade and Investment (CTI),Mexico,Completed Project,TILF Special Account,None,Session 1,"108,962","27,241","136,203",,Investment; Liberalisation; Trade Facilitation,Committee on Trade and Investment (CTI),Not Applicable / Other,"Chile; Hong Kong, China; Japan; Peru; United States",Ministry of Economy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11114
Conference on Concept of Data Exchange on Chemical Products and Chemical Substances Hazardous Properties,CTI 07 2012T,2012,Chemical Dialogue (CD),Russia,Completed Project,TILF Special Account,None,Session 1,"77,678","23,618","101,296",,Chemicals Trade and Management,Committee on Trade and Investment (CTI),Not Applicable / Other,Japan; United States,": Federal Agency on Technical Regulation and Metrology / Russian Research Center on Standardisation, Certification and Testing of Materials (FCUE VNICSMV)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11137
Regulatory Cooperation - Introductory Level Training in Risk Assessment and Risk Management to Provide Tools for the Development of Sound Chemical Regulations,CTI 05 2012,2012,Chemical Dialogue (CD),United States,Completed Project,Operational Account,None,Session 1,"89,800",0,"89,800",,Chemicals Trade and Management,Committee on Trade and Investment (CTI),Not Applicable / Other,Australia; New Zealand; Peru; Chinese Taipei,"Environmental Assistance Division, Office of Pollution Prevention and Toxics, U.S. Environmental Protection Agency",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11103
Improving Efficiency of Domestic Strategies on Financial Literacy,FMP 01 2012,2012,Finance Ministers Process (FMP),Russia,Completed Project,Operational Account,None,Session 1,"98,929","119,925","218,854",,Finance,Senior Finance Officials Meeting (SFOM),Not Applicable / Other,Philippines; Singapore; Thailand; New Zealand,"Ministry of Finance, Russian Federation",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11109
Workshop on Global Supply Chain Resilience,TPT 02 2012,2012,Transportation Working Group (TPTWG),United States,Completed Project,Operational Account,None,Session 3,"60,067","99,587","159,654",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),APEC Business Advisory Council (ABAC); Emergency Preparedness Working Group (EPWG),Canada; China; Chinese Taipei; Thailand,US Department of Transportation,Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11908
Automated Transport Management Systems Implementation for Optimizing Logistics within the Asia-Pacific with an Emphasis on ITS and GNSS Applicable,TPT 01 2012T,2012,Transportation Working Group (TPTWG),Russia,Completed Project,TILF Special Account,None,Session 2,"190,366","81,585","271,951",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Chinese Taipei; Thailand,Federal Space Agency (Roscosmos),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11120
APEC Workshop on Innovative Service Chain Based on Information Technology,IST 04 2012A,2012,Industrial Science and Technology Working Group (ISTWG),China,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"110,000","68,500","178,500",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Hong Kong, China; Chinese Taipei",China Association of Productivity Promotion Centers,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11100
"Emergency Preparedness Education: Learning from Experience, Science of Disasters, and Preparing for the Future (II) - Focus on Flood and Typhoon",HRD 05 2012A,2012,Human Resource Development Working Group (HRDWG),Japan; Thailand,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 2,"94,528","138,412","232,940",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Chile; China; Indonesia; Peru; Chinese Taipei; United States,"Center for Research in Mathematics Education, Faculty of Education, Khon Kaen University, Thailand","Center for Research on International Cooperation in Educational Development, University of Tsukuba, Japan",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11093
International Campaign Program to Control Antimicrobial Resistance (AMR) in the Asia-Pacific Region,HWG 02 2012A,2012,Health Working Group (HWG),Korea,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 2,"80,500","99,500","180,000",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Chinese Taipei,Asia Pacific Foundation for Infectious Diseases (APFID),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11091
Research on the Application of Physical Energy Storage Technology with Renewable Energy in a Low Carbon Town,EWG 16 2012A,2012,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"96,000","105,000","201,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Korea; New Zealand,Hunan University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11090
APEC Distribution Transformers Survey - Estimate of Energy Savings Potential from Mandatory Efficiency Standards (MEPs),EWG 15 2012A,2012,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"101,500","131,100","232,600",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; New Zealand; United States,China National Institute of Standardization(CNIS),China National Institute of Standardization(CNIS),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11089
Workshop to Support the Development of National Lighting Design Centers in the APEC Region,EWG 14 2012A,2012,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"79,738","40,116","119,854",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"China; Hong Kong, China; Indonesia; Japan; Korea; New Zealand; Singapore; Chinese Taipei; Thailand; Viet Nam",Pacific Northwest National Laboratory,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11088
APEC-ASEAN Harmonisation of Energy Efficiency Standards for Air Conditioners (Phase 1),EWG 12 2012A,2012,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"111,844","88,000","199,844",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; China; Hong Kong, China; Indonesia; Korea; New Zealand; Singapore; Chinese Taipei; Thailand; United States; Viet Nam","Ministry of Economy, Trade and Industry, Agency for Natural Resources and Energy",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11086
APEC Peer Review on Energy Efficiency (PREE) Phase 3,EWG 02 2011,2011,Energy Working Group (EWG),Japan; Thailand; Viet Nam,Completed Project,Operational Account,None,Session 1,"146,433","305,606","452,039",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Brunei Darussalam; Canada; Chile; China; Hong Kong, China; Indonesia; Korea; Malaysia; Mexico; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Singapore; Chinese Taipei; United States","Ministry of Economy, Trade and Industry (METI)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11410
APEC Cooperative Energy Efficiency Design for Sustainability (CEEDS) - Phase 2,EWG 03 2010A,2010,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"148,380","597,440","745,820",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Brunei Darussalam; Canada; Chile; China; Hong Kong, China; Indonesia; Korea; Malaysia; Mexico; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Singapore; Chinese Taipei; Thailand; United States; Viet Nam","Ministry of Economy, Trade and Industry (METI)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11228
Marine Ecosystem Assessment and Management in the Asia-Pacific Region Phase 3 - Pilot APEC LME Project,OFWG 01 2011,2011,Oceans and Fisheries Working Group (OFWG),United States,Completed Project,Operational Account,None,Session 3,"58,423","21,577","80,000",,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Korea; Mexico,"National Oceanic and Atmospheric Administration (NOAA), Department of Commerce, USA",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11424
Study to Develop a Green Port Evaluation Index,TPT 08 2011,2011,Transportation Working Group (TPTWG),China,Completed Project,Operational Account,None,Session 3,"90,000","75,412","165,412",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Canada; Hong Kong, China",China Waterborne Transportation Research Institute,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11425
"Sharing Best Practices For Seamless Intermodal Cargo Movement - Phase 1, Physical Infrastructure",TPT 07 2011T,2011,Transportation Working Group (TPTWG),Russia,Completed Project,TILF Special Account,None,Session 3,"107,050","44,873","151,923",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; United States,"Ministry of Transport of the Russian Federation, International Cooperation Department, Division for International Organizations, Transport Policy and Regional Cooperation",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11619
APEC - Performance Based Navigation Regulatory Review and Evaluation it Program (PBNRREVP),TPT 06 2011A,2011,Transportation Working Group (TPTWG),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"129,827","123,600","253,427",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Malaysia; New Zealand; Philippines; Thailand,United States Federal Aviation Administration (FAA),United States Federal Aviation Administration (FAA),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11207
Workshop on Enhancing Visibility of Maritime Container Transportation for Advancing Supply Chain Connectivity,TPT 04 2011T,2011,Transportation Working Group (TPTWG),Japan,Completed Project,TILF Special Account,None,Session 3,"26,487",0,"26,487",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Korea; Chinese Taipei; Thailand,"International and Environmental Policy Division, Ports and Harbours Bureau, Ministry of Land, Infrastructure, Transport and Tourism",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11620
Application of Ubiquitous Information and Communication Technologies (ICT) for Customised Management in Emergency Situations,TEL 02 2011A,2011,Telecommunications and Information Working Group (TELWG),Russia,Completed Project,APEC Support Fund,ASF: Science & Technology Development,Session 3,"48,000","35,914","83,914",,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Japan; Singapore; Chinese Taipei; Viet Nam,Ministry of Telecom and Mass Communication of the Russian Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11202
APEC Start-Up Conference,SME 09 2011A,2011,Small and Medium Enterprises Working Group (SMEWG),Korea,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"108,330","59,500","167,830",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Malaysia; Chinese Taipei; United States,Small and medium Business Corporation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11200
Green Initiative Workshop 2,SME 08 2011A,2011,Small and Medium Enterprises Working Group (SMEWG),Korea,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 3,"127,850","15,000","142,850",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Chinese Taipei,Small and medium Business Corporation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11196
APEC Network Building - Applied Space Technology Centers,IST 07 2011A,2011,Industrial Science and Technology Working Group (ISTWG),Russia,Completed Project,APEC Support Fund,ASF: Science & Technology Development,Session 3,"116,000","49,000","165,000",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Philippines; Chinese Taipei; Viet Nam,Russian Federal Space Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11197
Seminar Development of Engineering Professionals in APEC Economies,IST 06 2011A,2011,Industrial Science and Technology Working Group (ISTWG),Russia,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"98,000","32,000","130,000",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Korea; Chinese Taipei,Tomsk Polytechnic University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11195
APEC Symposium 2012 - Best Medical Practices in Mitigation of Radiation Accidents and Catastrophes,HWG 08 2011A,2011,Health Working Group (HWG),Russia,Completed Project,APEC Support Fund,ASF: Human Security,Session 3,"90,000","30,000","120,000",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Japan; Korea,Burnasyan Federal Medical Biophysical Centre of Federal Medical and Biological Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11193
International Seminar on Food Trade Safety to Prevent Avian Influenza,HWG 09 2011A,2011,Health Working Group (HWG),China,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 3,"150,062","44,500","194,562",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Chinese Taipei; Thailand,China Entry-Exit Inspection and Quarantine Association,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11192
APEC Workshop - HIV Vaccines as Part of Complex Approach to AIDS Prevention and Control in APEC Region,HWG 10 2011A,2011,Health Working Group (HWG),Russia,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 3,"118,410","52,100","170,510",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Chinese Taipei; Philippines,National Research Center - Institute of Immunology of the Federal Medical Biological Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11194
Enhancing Cooperation of Medical Rapid Response Teams in Case of International Disaster Response in APEC Economies,HWG 05 2011A,2011,Health Working Group (HWG),Russia,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 3,"105,050","44,000","149,050",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Chinese Taipei,Federal State Healthcare Institution Siberian Clinical Centre of the Federal Medical and Biological Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11191
Training Project on Building Public Health Emergency Preparedness and Response Capacity,HWG 06 2011A,2011,Health Working Group (HWG),China,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 3,"175,000","25,000","200,000",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Korea; Singapore,Shanghai Municipal Center for Disease Control and Prevention,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11190
2012 APEC u-Health Community Forum (1st APEC u-Health Technical Forum),HWG 04 2011A,2011,Health Working Group (HWG),Korea,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"74,752","57,896","132,648",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Russia; Chinese Taipei,Korea e-Health Association (KeHA) / Ministry of Knowledge & Economy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11184
Promoting Best Practices on Mathematical Modelling Course in Higher Education Curriculum of APEC Economies,HRD 06 2011A,2011,Human Resource Development Working Group (HRDWG),Indonesia,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"57,000","14,060","71,060",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; China; Japan; Korea; Thailand; United States,"Department of Mathematics, Institut Teknologi Bandung",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11188
Strengthening Human Resource Management System of SMEs for Facilitating Successful Trade and Investment in APEC,HRD 05 2011T,2011,Human Resource Development Working Group (HRDWG),Japan,Completed Project,TILF Special Account,None,Session 3,"184,700","70,930","255,630",,Education; Human Resources Development; Youth,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Korea; Malaysia; Philippines; Chinese Taipei; Thailand; United States,Institute for International Studies and Training,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11622
"Future Challenges and Educational Responses - Fostering Global, Innovative and Cooperative Education",HRD 03 2011A,2011,Human Resource Development Working Group (HRDWG),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"99,900","51,100","151,000",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Indonesia; Japan; Korea; Mexico; Peru; Russia,US Department of Education,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11186
APEC Workshop on Paths Toward Sustainable Low Carbon Economies based on Rational Use of Renewable Energies,EWG 22 2011A,2011,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 3,"100,000","100,000","200,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Hong Kong, China; Korea; Chinese Taipei; United States",Tianjin University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11185
"Feasibility of Accelerating the Deployment of Carbon Capture, Utilization and Storage [CCUS] in APEC Developing Economies",EWG 24 2011,2011,Energy Working Group (EWG),Canada; United States,Completed Project,Operational Account,None,Session 3,"80,000","20,000","100,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Japan,"U.S. Department of Energy, National Energy Technology Laboratory",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11420
Archiving Low-Carbon Development in APEC's Communities by Using Higher-Efficiency and Cleaner Gas-Fired Cogeneration Technology,EWG 20 2011A,2011,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 3,"90,000","120,000","210,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Hong Kong, China; Korea; Chinese Taipei; Russia",Beijing Jingneng Clean Energy Corporation Limited (China),Beijing Jingneng Clean Energy Corporation Limited (China),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11180
Piloting Smart-Microgrid Projects for Insular and Remote Localities in APEC Economies,EWG 15 2011A,2011,Energy Working Group (EWG),Russia,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 3,"81,575","96,990","178,565",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Canada; Japan; Korea; Singapore; Chinese Taipei; Thailand; United States,Ministry of Energy of the Russian Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11176
APEC Seminar on Capacity Building for Disaster Recovery and Rehabilitation,EPWG 05 2011A,2011,Emergency Preparedness Working Group (EPWG),China,Completed Project,APEC Support Fund,ASF: Health and Emergency Preparedness,Session 3,"126,786","32,000","158,786",,Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Chile; Singapore; Chinese Taipei; Viet Nam,National Disaster Reduction Center of China,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11174
The 3rd APEC Air Cargo Security Workshop,CTTF 02 2011A,2011,Counter Terrorism Task Force (CTTF),Viet Nam,Completed Project,APEC Support Fund,ASF: Human Security,Session 3,"110,855","26,800","137,655",,Counter Terrorism,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Singapore; United States,Ministry of Foreign Affairs of Viet Nam,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11175
Workshop on the Application of Remote Sensing and GIS Technology on Crops Productivity among APEC Economies,ATC 09 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),China,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"126,790","41,000","167,790",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Chinese Taipei,"Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11173
Scientific Workshop on Sustainable Land Management (SLM) to Enhance Food Production of APEC Members,ATC 10 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),Thailand,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"122,780","65,040","187,820",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Philippines,"Office of Land Use Policy and Planning, Land Development Department (LDD),Ministry of Agriculture and Cooperatives(MAO)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11172
International Symposium on Food Security and Asia and the Pacific - Key Policy Issues and Options,ATC 07 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),Canada,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"45,762","141,000","186,762",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Japan; Chinese Taipei; United States,Canadian International Development Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11170
9th Conference on Standards and Conformance in the Field of Innovations and Related Good Practices,CTI 37 2011T,2011,Sub-Committee on Standards and Conformance (SCSC),Russia,Completed Project,TILF Special Account,None,Session 3,"68,000","29,140","97,140",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,Malaysia; United States,Federal Agency on Technical Regulating and Metrology,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11621
Workshop on Regulatory Approaches to Smart Grid Investment and Deployment,CTI 30 2011T,2011,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,TILF Special Account,None,Session 3,"63,300","73,066","136,366",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,China; Japan; Korea; Chinese Taipei,"U.S. Department of Commerce, National Institute of Standards and Technology",APEC Technical Assistance Training Facility,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11618
"Supply Chain Visibility (SCV) Feasibility Study, Phase 3",CTI 28 2011T,2011,Sub-Committee on Standards and Conformance (SCSC),Japan,Completed Project,TILF Special Account,None,Session 3,"87,981",0,"87,981",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,"Hong Kong, China; Korea; Malaysia; Chinese Taipei","Ministry of Economy, Trade and Industry",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11617
APEC Product Safety Incidents Information Sharing Systems,CTI 36 2011A,2011,Sub-Committee on Standards and Conformance (SCSC),Malaysia,Completed Project,APEC Support Fund,ASF: Human Security,Session 3,"197,000","67,500","264,500",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,Korea; Russia; Singapore,Department of Standards Malaysia,Malaysian Association of Standards Users,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11167
Multilateral Recognition Arrangement (MLA) Readiness Project in Greenhouse Gas Validation and Verification (GHG),CTI 38 2011T,2011,Sub-Committee on Standards and Conformance (SCSC),Japan,Completed Project,TILF Special Account,None,Session 3,"173,141","39,011","212,152",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,"Australia; Brunei Darussalam; Hong Kong, China; Indonesia; Mexico; New Zealand; Peru; Philippines; Chinese Taipei; Viet Nam","Ministry of Economy, Trade and Industry","Ministry of Economy, Trade and Industry",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11616
Developing a Harmonised Electrical Equipment Regulatory Risk Assessment Tool,CTI 32 2011T,2011,Sub-Committee on Standards and Conformance (SCSC),Australia; New Zealand,Completed Project,TILF Special Account,None,Session 3,"30,222","30,225","60,447",,Standards and Conformance,Committee on Trade and Investment (CTI),Not Applicable / Other,Brunei Darussalam; Singapore; United States,Electrical Regulatory Authorities Council (ERAC) Secretariat,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11612
Workshop on Healthcare Associated Infections (HAI) Prevention and Control through Public Policy and Best Practices,CTI 41 2011,2011,Life Sciences Innovation Forum (LSIF),United States,Completed Project,Operational Account,None,Session 3,"80,000","80,000","160,000",,Life Sciences,Committee on Trade and Investment (CTI),Health Working Group (HWG),Korea; Philippines; Russia; Chinese Taipei; Thailand,U.S. Department of State,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11418
APEC-IPEG Workshop on Policies and Practices relating to IPR and Standards,CTI 33 2011T,2011,Intellectual Property Rights Experts Group (IPEG),China; United States,Completed Project,TILF Special Account,None,Session 3,"85,512","21,940","107,452",,Intellectual Property,Committee on Trade and Investment (CTI),Not Applicable / Other,Chile; Russia; Chinese Taipei; Thailand; Viet Nam,"Department of WTO Affairs, Ministry of Commerce","Office of IP and Innovation, USTR",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11615
